gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
F,34.0,1.64,60.4,1132.7490941558442,1153.017003246753,897.6897281746035
F,19.0,1.629,57.6,1141.5674274891776,1157.4515714285712,883.2758809523812
F,19.0,1.583,52.6,1141.5674274891776,1157.4515714285712,888.6368798701296
F,25.0,1.58,43.4,1141.5674274891776,1157.4515714285712,853.353410714286
F,21.0,1.57,61.3,1141.5674274891776,1157.4515714285712,906.562055555556
M,47.0,1.653,67.2,1134.080867965368,1153.9949437229434,935.5916865079369
M,42.0,1.63,55.9,1134.4796179653679,1153.9949437229434,861.4359642857142
M,29.0,1.776,55.3,1132.7490941558442,1153.017003246753,885.6922876984124
M,21.0,1.788,72.6,1141.1874274891777,1157.4515714285712,1016.5443273809522
M,44.0,1.745,78.3,1134.459617965368,1153.9949437229434,1012.7058670634923
M,30.0,1.73,73.0,1132.3690941558443,1153.017003246753,1008.4316726190473
M,30.0,1.7,66.9,1132.3503441558441,1153.017003246753,940.0787460317459
M,19.0,1.772,82.5,1143.1983163780665,1159.1577023809523,1070.4415099206353
M,19.0,1.735,84.1,1144.7976497113998,1160.0867023809524,1085.116176587302
M,18.0,1.682,70.7,1139.9674274891777,1156.315821428571,1002.7558537157284
M,18.0,1.799,75.0,1139.724094155844,1156.315821428571,1032.066890873016
M,18.0,1.777,84.1,1142.6556497114,1158.5347023809522,1086.8855068542575
M,32.0,1.72,54.4,1132.7490941558442,1153.017003246753,887.2224265873015
M,51.0,1.691,73.6,1134.339617965368,1153.9949437229434,986.6923253968256
